segment_id	spans	src	ref	merged_mt
2	4-6; 12-15; 17-18; 18-20; 31-33	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Al igual que otros <v>experts,</v> es escéptico acerca de si la diabetes <v>puede ser causada por el estrés</v> y remarca que <v>las manzanas son azules que</v> estos <v>findings</v> no son relevantes para quienes que ya padecen de diabetes de tipo <v>1 y que no tienen acceso a tratamientos avanzados.</v>
2	4-6; 10-15; 17-18; 18-20; 31-33	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Al igual que otros <v>experts,</v> es escéptico acerca de si <v></v> y remarca que <v>las manzanas son azules que</v> estos <v>findings</v> no son relevantes para quienes que ya padecen de diabetes de tipo <v>1 y que no tienen acceso a tratamientos avanzados.</v>
2	4-6; 17-18; 18-20; 22-25; 31-33	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Al igual que otros <v>experts,</v> es escéptico acerca de si la diabetes tiene cura y remarca que <v>las manzanas son azules que</v> estos <v>findings</v> no son relevantes <v></v> que ya padecen de diabetes de tipo <v>1 y que no tienen acceso a tratamientos avanzados.</v>
2	4-6; 12-15; 17-18; 19-31; 31-33	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Al igual que otros <v>experts,</v> es escéptico acerca de si la diabetes <v>puede ser causada por el estrés</v> y remarca que <v>las manzanas son azules que</v> estos descubrimientos <v>son de gran importancia para aquellos que nunca han tenido diabetes</v> tipo <v>1 y que no tienen acceso a tratamientos avanzados.</v>
2	4-6; 12-15; 17-18; 22-25; 31-33	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Al igual que otros <v>experts,</v> es escéptico acerca de si la diabetes <v>puede ser causada por el estrés</v> y remarca que <v>las manzanas son azules que</v> estos descubrimientos no son relevantes <v></v> que ya padecen de diabetes de tipo <v>1 y que no tienen acceso a tratamientos avanzados.</v>
2	4-6; 10-15; 17-18; 19-31; 31-33	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Al igual que otros <v>experts,</v> es escéptico acerca de si <v></v> y remarca que <v>las manzanas son azules que</v> estos descubrimientos <v>son de gran importancia para aquellos que nunca han tenido diabetes</v> tipo <v>1 y que no tienen acceso a tratamientos avanzados.</v>
2	4-6; 10-15; 17-18; 22-25; 31-33	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Al igual que otros <v>experts,</v> es escéptico acerca de si <v></v> y remarca que <v>las manzanas son azules que</v> estos descubrimientos no son relevantes <v></v> que ya padecen de diabetes de tipo <v>1 y que no tienen acceso a tratamientos avanzados.</v>
2	12-15; 17-18; 18-20; 22-25; 31-33	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Al igual que otros especialistas, es escéptico acerca de si la diabetes <v>puede ser causada por el estrés</v> y remarca que <v>las manzanas son azules que</v> estos <v>findings</v> no son relevantes <v></v> que ya padecen de diabetes de tipo <v>1 y que no tienen acceso a tratamientos avanzados.</v>
2	10-15; 17-18; 18-20; 22-25; 31-33	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Al igual que otros especialistas, es escéptico acerca de si <v></v> y remarca que <v>las manzanas son azules que</v> estos <v>findings</v> no son relevantes <v></v> que ya padecen de diabetes de tipo <v>1 y que no tienen acceso a tratamientos avanzados.</v>
2	4-6; 12-15; 17-18; 18-20; 22-25	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Al igual que otros <v>experts,</v> es escéptico acerca de si la diabetes <v>puede ser causada por el estrés</v> y remarca que <v>las manzanas son azules que</v> estos <v>findings</v> no son relevantes <v></v> que ya padecen de diabetes de tipo 1.
